STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,STATISTICAL_OPERATION,Statistical operation,UNIT_MEASURE,Unit of measure,AGE,Age,METHODOLOGY,Methodology,DEFINITION,Definition,POVERTY_LINE,Poverty line,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency,DECIMALS,Decimals,PRICE_BASE,Price base,BASE_PER,Base period,CONF_STATUS,Confidentiality status
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,KOR,Korea,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2016,,100.9717,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,KOR,Korea,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2017,,102.9349,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,KOR,Korea,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2018,,104.4541,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,KOR,Korea,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2019,,104.8541,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,KOR,Korea,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2020,,105.4175,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,KOR,Korea,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2021,,108.0512,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,KOR,Korea,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2022,,113.5487,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,KOR,Korea,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2011,,94.71762,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,KOR,Korea,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2012,,96.78916,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,KOR,Korea,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2013,,98.04872,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,KOR,Korea,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2014,,99.29862,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUS,Australia,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2018,,105.2241,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUS,Australia,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2020,,107.8245,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUS,Australia,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2012,,93.82401,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,AUS,Australia,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2014,,98.51405,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,MEX,Mexico,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2022,,139.7617,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,MEX,Mexico,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2012,,90.15859,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,MEX,Mexico,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2014,,97.35142,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,MEX,Mexico,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2016,,102.8217,,A,Normal value,,,,,2,Two,,,2015,,,
DATAFLOW,OECD.WISE.INE:DSD_WISE_IDD@DF_IDD(1.0),Income distribution database,I,MEX,Mexico,A,Annual,CPI,Consumer Price Index,_Z,Not applicable​​,IX,Index,_T,Total,METH2012,Income definition since 2012,D_CUR,Current definition,_Z,Not applicable,2018,,114.3756,,A,Normal value,,,,,2,Two,,,2015,,,
